Title,URL,Release Year
Pulp Fiction,http://www.imdb.com/title/tt0110912/,1994
Fight Club,http://www.imdb.com/title/tt0137523/,1999
The Matrix,http://www.imdb.com/title/tt0133093/,1999
The Dark Knight,http://www.imdb.com/title/tt0468569/,2008
Schindler's List,http://www.imdb.com/title/tt0108052/,1993
Inception,http://www.imdb.com/title/tt1375666/,2010
Forrest Gump,http://www.imdb.com/title/tt0109830/,1994
Se7en,http://www.imdb.com/title/tt0114369/,1995
City of God,http://www.imdb.com/title/tt0317248/,2002
The Silence of the Lambs,http://www.imdb.com/title/tt0102926/,1991
American History X,http://www.imdb.com/title/tt0120586/,1998
Spirited Away,http://www.imdb.com/title/tt0245429/,2001
Memento,http://www.imdb.com/title/tt0209144/,2000
The Green Mile,http://www.imdb.com/title/tt0120689/,1999
Back to the Future,http://www.imdb.com/title/tt0088763/,1985
Alien,http://www.imdb.com/title/tt0078748/,1979
Django Unchained,http://www.imdb.com/title/tt1853728/,2012
The Prestige,http://www.imdb.com/title/tt0482571/,2006
The Shining,http://www.imdb.com/title/tt0081505/,1980
Amélie,http://www.imdb.com/title/tt0211915/,2001
A Clockwork Orange,http://www.imdb.com/title/tt0066921/,1971
Eternal Sunshine of the Spotless Mind,http://www.imdb.com/title/tt0338013/,2004
Full Metal Jacket,http://www.imdb.com/title/tt0093058/,1987
The Wolf of Wall Street,http://www.imdb.com/title/tt0993846/,2013
Inglourious Basterds,http://www.imdb.com/title/tt0361748/,2009
2001: A Space Odyssey,http://www.imdb.com/title/tt0062622/,1968
Pan's Labyrinth,http://www.imdb.com/title/tt0457430/,2006
Her,http://www.imdb.com/title/tt1798709/,2013
V for Vendetta,http://www.imdb.com/title/tt0434409/,2005
The Sixth Sense,http://www.imdb.com/title/tt0167404/,1999
The Grand Budapest Hotel,http://www.imdb.com/title/tt2278388/,2014
